Transaction_Date,Transaction_Year,Transaction_Month,Brand,Model,Manufacture_Year,Car_Age_At_Sale,Mileage_km,Displacement_cc,Horsepower_PS,Seats,Color,Dealer,Price_HKD
2026/09,2026,9,TOYOTA,NOAH DELUXE FACELIFT 版,2020,6,15000.0,1987.0,152,7,Purple,Race Art Motors Limited,158000.0
2026/09,2026,9,MERCEDES-BENZ,S500,2015,11,85000.0,4663.0,455,5,Black,Wai To Motors Ltd.,218000.0
2026/09,2026,9,BMW,M2 COMPETITION COUPE,2018,8,25000.0,2979.0,410,4,Silver,Wai To Motors Ltd.,388000.0
2026/09,2026,9,MERCEDES-BENZ,E200 EXCLUSIVE FACELIFT,2020,6,29000.0,1991.0,197,5,Blue,Wai To Motors Ltd.,228000.0
2026/09,2026,9,MERCEDES-BENZ,CLA250 AMG,2015,11,70000.0,1991.0,211,5,Black,Wai To Motors Ltd.,78000.0
2026/09,2026,9,MERCEDES-BENZ,AMG CLS53 4M,2019,7,9000.0,2999.0,435,5,White,Wai To Motors Ltd.,498000.0
2026/09,2026,9,NISSAN,Qashqai Plus,2015,11,100000.0,1997.0,144,5,White,Hung Wai Motor Enterprise Limited,29000.0
2026/09,2026,9,LEXUS,NX250,2022,4,53000.0,2487.0,206,5,Blue,Wai To Motors Ltd.,268000.0
2026/09,2026,9,BMW,X4 xDRIVE 30i M Sport,2018,8,66000.0,1998.0,252,5,Black,HANSEN MOTORS COMPANY LTD,178000.0
2026/09,2026,9,MERCEDES-BENZ,GLC300 AMG FACELIFT,2021,5,50000.0,1991.0,258,5,Black,Celebrity Motors Limited,248000.0
2026/09,2026,9,MERCEDES-BENZ,E200 AVANTGARDE,2017,9,78000.0,1991.0,184,5,White,One Dream Motor Develop Limited,118000.0
2026/09,2026,9,TESLA,Model 3 AWD,2024,2,28000.0,,346,5,Blue,Hung Wai Motor Enterprise Limited,258000.0
2026/09,2026,9,KIA,Morning EX Premium,2017,9,40000.0,1248.0,84,5,Silver,Hung Wai Motor Enterprise Limited,38000.0
2026/09,2026,9,TESLA,MODELＳ85D,2016,10,107000.0,85.0,417,2,White,One Dream Motor Develop Limited,128000.0
2026/09,2026,9,BMW,行貨X1 XDRIVE18iA XLINE 尾期,2021,5,45000.0,1499.0,140,5,Grey,Win Fair Motors Limited,118000.0
2026/09,2026,9,TESLA,Model 3 Standard Range Plus,2019,7,79000.0,,204,5,Grey,Hung Wai Motor Enterprise Limited,118000.0
2026/09,2026,9,BMW,M135i XDRIVE,2020,6,26000.0,1998.0,306,5,Grey,A AND S AUTOMOBILE CO. LTD,198000.0
2026/09,2026,9,TESLA,MODEL 3 LONG RANGE,2020,6,45000.0,,252,5,Grey,A AND S AUTOMOBILE CO. LTD,168000.0
2026/09,2026,9,MERCEDES-BENZ,S500,2013,13,64000.0,4663.0,455,5,Silver,Superior Motors Company Limited,188888.0
2026/09,2026,9,HONDA,ODYSSEY,2018,8,55482.0,2356.0,175,7,Silver,Star Ray Motors Company Limited,118000.0
2026/09,2026,9,PORSCHE,911Carrera4S,2019,7,24000.0,2981.0,435,4,White,Superior Motors Company Limited,1980000.0
2026/09,2026,9,LEXUS,LM500H,2024,2,264.0,2393.0,371,4,Black,Superior Motors Company Limited,1880000.0
2026/09,2026,9,MERCEDES-BENZ,S500,2021,5,27000.0,2999.0,435,5,Black,Superior Motors Company Limited,1230000.0
2026/09,2026,9,PORSCHE,911 targa 4,2022,4,8500.0,2981.0,385,4,Black,Superior Motors Company Limited,2380000.0
2026/09,2026,9,LEXUS,IS300H Version L,2015,11,75700.0,2493.0,178,5,White,A AND S AUTOMOBILE CO. LTD,98000.0
2026/09,2026,9,VOLVO,XC60 B5,2020,6,51000.0,1969.0,250,5,White,Superior Motors Company Limited,168000.0
2026/09,2026,9,LAND ROVER,RANGE ROVER P510E 3.0,2021,5,11600.0,2996.0,510,5,Grey,Superior Motors Company Limited,1860000.0
2026/09,2026,9,AUDI,Q8 e-tron 55 quattro,2021,5,52900.0,158.0,408,5,White,A AND S AUTOMOBILE CO. LTD,358000.0
2026/09,2026,9,PORSCHE,Taycan 4S,2020,6,47200.0,1.0,523,4,Black,A AND S AUTOMOBILE CO. LTD,748000.0
2026/09,2026,9,ROLLS-ROYCE,GHOST,2020,6,16000.0,6592.0,570,4,Purple,Superior Motors Company Limited,4580000.0
2026/09,2026,9,MERCEDES-BENZ,G55,2005,21,77000.0,5439.0,500,5,Black,Superior Motors Company Limited,900000.0
2026/09,2026,9,BMW,X6 M50i G06,2020,6,34000.0,4395.0,530,5,Black,A AND S AUTOMOBILE CO. LTD,598000.0
2026/09,2026,9,TESLA,MODEL Y LR,2022,4,44862.0,,371,5,White,Superior Motors Company Limited,228000.0
2026/09,2026,9,MERCEDES-BENZ,GLC250 4MATIC,2018,8,57000.0,1991.0,211,5,Grey,Superior Motors Company Limited,158000.0
2026/09,2026,9,CHEVROLET,CORVETTE C8 CONVERTIBLE,2022,4,1400.0,6162.0,480,2,Red,Superior Motors Company Limited,1680000.0
2026/09,2026,9,LEXUS,LM500H,2024,2,260.0,2393.0,371,4,Black,Superior Motors Company Limited,1850000.0
2026/09,2026,9,BMW,430ia Coupe M Sport,2020,6,47000.0,2000.0,258,4,White,A AND S AUTOMOBILE CO. LTD,298000.0
2026/09,2026,9,FIAT,500 TWINAIR,2021,5,3100.0,875.0,85,4,Pink,Superior Motors Company Limited,168000.0
2026/09,2026,9,ROLLS-ROYCE,CULLINAN,2019,7,12000.0,6749.0,571,4,Red,Superior Motors Company Limited,4980000.0
2026/09,2026,9,MASERATI,GHIBLI,2015,11,41400.0,2979.0,350,5,Black,Superior Motors Company Limited,188000.0
2026/09,2026,9,ROLLS-ROYCE,GHOST,2011,15,34000.0,6592.0,570,5,White,Superior Motors Company Limited,1280000.0
2026/09,2026,9,MERCEDES-BENZ,EQE350+,2022,4,15000.0,,292,5,Grey,Superior Motors Company Limited,528000.0
2026/09,2026,9,FERRARI,F12 BERLINETTA,2015,11,38300.0,6262.0,740,2,White,Superior Motors Company Limited,1558000.0
2026/09,2026,9,FERRARI,488 GTB,2016,10,18000.0,3900.0,670,2,Yellow,Superior Motors Company Limited,1880000.0
2026/09,2026,9,ROLLS-ROYCE,GHOST,2018,8,2600.0,6592.0,570,5,Purple,Superior Motors Company Limited,2880000.0
2026/09,2026,9,PORSCHE,911 CARRERA S,2016,10,15400.0,2981.0,420,4,Blue,Superior Motors Company Limited,1080000.0
2026/09,2026,9,ROVER,RANGE ROVER 5.0 LWB AUTOBIOGRAPHY,2018,8,40000.0,4999.0,525,5,Black,Superior Motors Company Limited,838000.0
2026/09,2026,9,LAMBORGHINI,HURACAN PERFORMANTE SPYDER,2019,7,8500.0,5204.0,640,2,Yellow,Superior Motors Company Limited,2580000.0
2026/09,2026,9,TOYOTA,ALPHARD 3.5,2021,5,50355.0,3456.0,300,7,Black,Superior Motors Company Limited,398000.0
2026/09,2026,9,LAMBORGHINI,HURCAN LP6104,2015,11,19000.0,5204.0,610,2,Green,Superior Motors Company Limited,1690000.0
2026/09,2026,9,TOYOTA,ALPHARD 2.5,2025,1,50.0,2500.0,182,7,White,Superior Motors Company Limited,658000.0
2026/09,2026,9,AUDI,R8 V10 PLUS SPYDER QUATTRO,2017,9,12000.0,5208.0,610,2,Blue,Superior Motors Company Limited,1130000.0
2026/09,2026,9,ROLLS-ROYCE,GHOST,2017,9,13800.0,6592.0,570,5,Black,Superior Motors Company Limited,2380000.0
2026/09,2026,9,TOYOTA,ALPHARD 3.5,2017,9,52000.0,3456.0,300,7,White,Superior Motors Company Limited,338000.0
2026/09,2026,9,ROLLS-ROYCE,PHANTOM EWB,2015,11,39000.0,6749.0,460,4,Others,Superior Motors Company Limited,3480000.0
2026/09,2026,9,LAMBORGHINI,HURACAN LP580-2,2019,7,19000.0,5204.0,602,2,Grey,Superior Motors Company Limited,1900000.0
2026/09,2026,9,TOYOTA,CAMRY,2018,8,86000.0,2495.0,180,5,Brown,Superior Motors Company Limited,128000.0
2026/09,2026,9,TOYOTA,ALPHARD 3.5,2020,6,35000.0,3456.0,300,7,White,Superior Motors Company Limited,518000.0
2026/09,2026,9,TOYOTA,LANDCRUISER,2019,7,35000.0,4608.0,400,7,Black,Superior Motors Company Limited,598000.0
2026/09,2026,9,BMW,M240IA XDRIVE COUPE,2022,4,6200.0,2998.0,374,4,Purple,Superior Motors Company Limited,568000.0
2026/09,2026,9,LAND ROVER,Range Rover RRS 3.0 SC,2017,9,63000.0,2995.0,340,7,Blue,Superior Motors Company Limited,448000.0
2026/09,2026,9,TOYOTA,Alphard 3.5 SC Facelift,2020,6,30685.0,3456.0,280,7,Black,Superior Motors Company Limited,538000.0
2026/09,2026,9,MERCEDES-BENZ,S500 4 MATIC AMG,2021,5,18000.0,2999.0,435,5,Black,Superior Motors Company Limited,1580000.0
2026/09,2026,9,MERCEDES-BENZ,A35 AMG 4-Matic,2019,7,13400.0,1991.0,306,5,Grey,Superior Motors Company Limited,258000.0
2026/09,2026,9,MERCEDES-BENZ,S600 Maybach,2015,11,62000.0,5980.0,530,4,White,Superior Motors Company Limited,698000.0
2026/09,2026,9,BENTLEY,BENTAYGA,2017,9,50838.0,5950.0,608,5,Grey,Superior Motors Company Limited,1680000.0
2026/09,2026,9,ROLLS-ROYCE,GHOST EWB,2012,14,62000.0,6590.0,570,5,Blue,Superior Motors Company Limited,1480000.0
2026/09,2026,9,FERRARI,488 GTB,2016,10,22700.0,3900.0,670,2,Red,Superior Motors Company Limited,1860000.0
2026/09,2026,9,TOYOTA,FJ CRUISER,2017,9,75000.0,4000.0,270,5,Black,Superior Motors Company Limited,268000.0
2026/09,2026,9,MERCEDES-BENZ,GLE450 4MATIC 7SEAT,2020,6,42000.0,3000.0,367,7,Black,Superior Motors Company Limited,538000.0
2026/09,2026,9,MAYBACH,MAYBACH S500,2015,11,57000.0,4663.0,455,5,Silver,Superior Motors Company Limited,498000.0
2026/09,2026,9,TOYOTA,ALPHARD 3.5,2022,4,34000.0,3498.0,300,7,White,Superior Motors Company Limited,698000.0
2026/09,2026,9,ROLLS-ROYCE,PHANTOM,2015,11,34000.0,6749.0,460,4,Brown,Superior Motors Company Limited,3480000.0
2026/09,2026,9,MASERATI,LEVANTE DIESEL,2017,9,100000.0,2987.0,275,5,Black,Superior Motors Company Limited,378000.0
2026/09,2026,9,MERCEDES-BENZ,E250,2017,9,33875.0,1991.0,211,5,Grey,Superior Motors Company Limited,238000.0
2026/09,2026,9,TOYOTA,ALPHARD 3.5,2018,8,49000.0,3498.0,300,7,Black,Superior Motors Company Limited,408000.0
2026/09,2026,9,TOYOTA,ALPHARD 3.5,2021,5,32000.0,3498.0,300,7,Black,Superior Motors Company Limited,598000.0
2026/09,2026,9,TOYOTA,ALPHARD 2.5 HYBIRD,2016,10,66000.0,2500.0,197,7,White,Superior Motors Company Limited,308000.0
2026/09,2026,9,MERCEDES-BENZ,CLA250 COUPE,2020,6,16600.0,1991.0,225,5,White,Superior Motors Company Limited,298000.0
2026/09,2026,9,TOYOTA,ALPHARD 3.5,2015,11,51200.0,3498.0,300,7,White,Superior Motors Company Limited,328000.0
2026/09,2026,9,TOYOTA,ALPHARD 3.5,2018,8,73950.0,3498.0,300,7,White,Superior Motors Company Limited,388000.0
2026/09,2026,9,MERCEDES-BENZ,S400 HYBIRD,2013,13,77500.0,3498.0,333,5,Silver,Superior Motors Company Limited,188000.0
2026/09,2026,9,LEXUS,LM350,2020,6,59000.0,3500.0,274,4,White,Superior Motors Company Limited,1068000.0
2026/09,2026,9,TOYOTA,ALPHARD EX. LOUNGE,2020,6,39800.0,3456.0,300,7,White,Superior Motors Company Limited,458000.0
2026/09,2026,9,TOYOTA,ALPHARD V6,2021,5,29333.0,3456.0,300,7,White,Superior Motors Company Limited,598000.0
2026/09,2026,9,MERCEDES-BENZ,GLE 43 C0UPE,2018,8,47000.0,2996.0,367,5,Black,Superior Motors Company Limited,538000.0
2026/09,2026,9,TESLA,Model X 100P DM,2017,9,73333.0,,680,7,Grey,Superior Motors Company Limited,488000.0
2026/09,2026,9,PORSCHE,993 Targa,1996,30,86800.0,3600.0,300,4,Yellow,Superior Motors Company Limited,768000.0
2026/09,2026,9,MERCEDES-BENZ,A45 S 4Matic,2020,6,24300.0,1991.0,421,5,Grey,Autoway Motors Limited,448000.0
2026/09,2026,9,BMW,218IA Gran Coupe M Sport Edition,2020,6,33300.0,1499.0,140,2,Black,Autoway Motors Limited,118000.0
2026/09,2026,9,LEXUS,行貨 NX200T F SPORT版 2.0Turbo,2015,11,100000.0,1998.0,238,5,Silver,Win Fair Motors Limited,78000.0
2026/09,2026,9,KIA,Sportage EX,2016,10,102000.0,1999.0,184,5,Black,Hung Wai Motor Enterprise Limited,29000.0
2026/09,2026,9,MINI,Cooper Countryman 自動波,2011,15,75000.0,1598.0,184,5,Blue,Vision Motors (HK) Limited,23000.0
2026/09,2026,9,MAXUS,MIFA 7 ELITE,2026,0,10500.0,90.0,244,7,Black,A AND S AUTOMOBILE CO. LTD,348000.0
2026/09,2026,9,TOYOTA,NOAH Deluxe FaceLift版,2017,9,77000.0,1987.0,152,7,Blue,Race Art Motors Limited,108000.0
2026/09,2026,9,LAND ROVER,EVOQUE HSE DYN 2.0,2016,10,42000.0,1999.0,150,5,Brown,Vision Motors (HK) Limited,98000.0
2026/09,2026,9,NISSAN,QASHQAI PLUS,2018,8,48000.0,1997.0,144,5,Blue,Vision Motors (HK) Limited,48000.0
2026/09,2026,9,MERCEDES-BENZ,GLE450 4 MATIC 7 SEATS (V167),2021,5,54000.0,2999.0,362,7,Blue,A AND S AUTOMOBILE CO. LTD,458000.0
2026/09,2026,9,LEXUS,LS460 （L5),2012,14,82000.0,4608.0,381,5,White,Vision Motors (HK) Limited,88000.0
2026/09,2026,9,BMW,IX3 M SPORT EDITION G08,2022,4,49000.0,80.0,286,5,Grey,Royal Horse Motors Company,298000.0
2026/09,2026,9,TOYOTA,RAV 4 HYBRID FACELIFT,2022,4,54000.0,2500.0,218,5,Grey,Royal Horse Motors Company,228000.0
2026/09,2026,9,BMW,I4 EDRIVE35 M SPORT EDITION （G26）,2023,3,74000.0,80.0,286,5,Grey,Royal Horse Motors Company,338000.0
2026/09,2026,9,MERCEDES-BENZ,C200 AMG FACELIFT 1.5 EQ BOOST,2019,7,65000.0,1497.0,184,5,Grey,Royal Horse Motors Company,148000.0
2026/09,2026,9,PORSCHE,Cayenne Coupe,2021,5,20000.0,2995.0,340,5,Black,Motor Life Limited,798000.0
2026/09,2026,9,PORSCHE,MACAN 2.0,2015,11,65086.0,1984.0,237,5,Black,Tak Lee Motors (HK) Limited,148000.0
2026/09,2026,9,PORSCHE,CARRERA CON.,2005,21,35000.0,3596.0,352,4,Grey,Superior Motors Company Limited,278000.0
2026/09,2026,9,NISSAN,GTR R35,2011,15,75000.0,3799.0,530,4,Black,Superior Motors Company Limited,568000.0
2026/09,2026,9,LEXUS,LM350,2021,5,74000.0,3456.0,274,7,White,Superior Motors Company Limited,768000.0
2026/09,2026,9,MINI,CLUBMAN S,2019,7,43000.0,1998.0,192,5,Red,Superior Motors Company Limited,158000.0
2026/09,2026,9,VOLVO,XC90 B6 AWD,2022,4,25000.0,1969.0,320,7,Blue,Superior Motors Company Limited,488000.0
2026/09,2026,9,MERCEDES-BENZ,GLS400,2017,9,65000.0,2996.0,333,7,Black,Superior Motors Company Limited,428000.0
2026/09,2026,9,LEXUS,LM350,2020,6,65000.0,3500.0,274,4,White,Superior Motors Company Limited,858000.0
2026/09,2026,9,MERCEDES-BENZ,S560 MAYBACH,2018,8,59000.0,3982.0,469,5,Grey,Superior Motors Company Limited,888000.0
2026/09,2026,9,LEXUS,LM350,2020,6,46000.0,3500.0,274,4,Black,Superior Motors Company Limited,798000.0
2026/09,2026,9,LEXUS,LM350,2020,6,45000.0,3500.0,274,4,Black,Superior Motors Company Limited,898000.0
2026/09,2026,9,SUBARU,BRZ。 2.4,2023,3,4500.0,2387.0,237,4,Blue,Superior Motors Company Limited,298000.0
2026/09,2026,9,ROLLS-ROYCE,Phantom,2003,23,9200.0,6750.0,460,5,Blue,Superior Motors Company Limited,1780000.0
2026/09,2026,9,TOYOTA,Alphard 3.5,2018,8,58000.0,3456.0,300,7,Beige,Superior Motors Company Limited,378000.0
2026/09,2026,9,BMW,iX40,2022,4,32900.0,,326,5,White,Superior Motors Company Limited,728000.0
2026/09,2026,9,LEXUS,LM350 7~SEATS,2021,5,36232.0,3456.0,274,7,White,Superior Motors Company Limited,1050000.0
2026/09,2026,9,MERCEDES-BENZ,E 53 CAB AMG 4MATlC,2018,8,36000.0,2999.0,457,4,Black,Superior Motors Company Limited,588000.0
2026/09,2026,9,NISSAN,LEAF zero Emission,2018,8,53000.0,,150,4,Black,Superior Motors Company Limited,148000.0
2026/09,2026,9,MCLAREN,720S,2018,8,21000.0,4000.0,720,2,Yellow,Superior Motors Company Limited,2620000.0
2026/09,2026,9,LAND ROVER,SPORT HSE,2013,13,92000.0,2995.0,355,7,Grey,Superior Motors Company Limited,238000.0
2026/09,2026,9,FERRARI,599 GTB,2007,19,25000.0,5999.0,620,2,Red,Superior Motors Company Limited,768000.0
2026/09,2026,9,MERCEDES-BENZ,GLA45 .4MATlC TURB0,2014,12,75008.0,1991.0,360,5,White,Superior Motors Company Limited,208000.0
2026/09,2026,9,MERCEDES-BENZ,C 43,2017,9,24000.0,2996.0,367,4,White,Superior Motors Company Limited,328000.0
2026/09,2026,9,PORSCHE,Carrera S,2006,20,76000.0,3824.0,360,4,Black,Superior Motors Company Limited,338000.0
2026/09,2026,9,AUDI,Q7 QUATTR0,2018,8,27000.0,1984.0,252,7,Black,Superior Motors Company Limited,368000.0
2026/09,2026,9,MASERATI,Granturismo,2011,15,44000.0,4244.0,405,4,Silver,Superior Motors Company Limited,218000.0
2026/09,2026,9,BMW,428lA coupe M一sport,2014,12,92000.0,1997.0,245,4,Black,Superior Motors Company Limited,163000.0
2026/09,2026,9,PORSCHE,Cayenne S,2011,15,90000.0,4806.0,474,5,Black,Superior Motors Company Limited,188000.0
2026/09,2026,9,BMW,Active Hybrid 7,2014,12,100000.0,2979.0,320,2,Black,Superior Motors Company Limited,168000.0
2026/09,2026,9,FERRARI,California,2009,17,41235.0,4297.0,460,4,White,Superior Motors Company Limited,738000.0
2026/08,2026,8,BMW,i4 Edrive35i,2023,3,34000.0,,281,5,White,Hung Wai Motor Enterprise Limited,298000.0
2026/08,2026,8,TESLA,Model Y RWD,2024,2,59000.0,,295,5,Grey,Luxury Auto (HK) Company Limited,248000.0
2026/08,2026,8,LEXUS,LS500 F-Sport 3.5T引擎,2018,8,52000.0,3000.0,421,5,White,Deluxe ( China ) Motors Company Limited,398000.0
2026/08,2026,8,TOYOTA,CAMRY 2.5 DELUXE,2019,7,48814.0,2494.0,181,5,White,Tak Lee Motors (HK) Limited,98000.0
2026/08,2026,8,TESLA,Model Y RWD,2022,4,69433.0,,320,5,Black,Tak Lee Motors (HK) Limited,208000.0
2026/08,2026,8,BMW,218D Gran Tourer DIESEL,2017,9,95070.0,1995.0,150,7,Grey,Tak Lee Motors (HK) Limited,88000.0
2026/08,2026,8,SUBARU,BRZ 6 M/T,2023,3,5000.0,2387.0,235,4,White,HANSEN MOTORS COMPANY LTD,248000.0
2026/08,2026,8,MERCEDES-BENZ,C200 AMG 1.5T,2019,7,45000.0,1497.0,184,5,Grey,HANSEN MOTORS COMPANY LTD,138000.0
2026/08,2026,8,JAGUAR,F-Type P300 Coupe,2017,9,14000.0,1997.0,300,2,Grey,Luxury Auto (HK) Company Limited,208000.0
2026/08,2026,8,TESLA,Model 3 Standard Range Plus,2020,6,121000.0,,204,5,Grey,Hung Wai Motor Enterprise Limited,118000.0
2026/08,2026,8,KIA,NIRO EV+ DELUXE大電版,2020,6,67468.0,29.0,204,5,Blue,Star Ray Motors Company Limited,118000.0
2026/08,2026,8,PORSCHE,Cayman GTS,2016,10,24000.0,3436.0,340,2,Blue,Yat Hei Motors Ltd.,598000.0
2026/08,2026,8,BMW,220IA GRAND TOURER LUXURY FACELIFT,2019,7,32702.0,1998.0,192,7,White,Star Ray Motors Company Limited,98000.0
2026/08,2026,8,PORSCHE,Cayman GTS 4.0 MT,2020,6,11000.0,3995.0,400,2,Grey,Yat Hei Motors Ltd.,1038000.0
2026/08,2026,8,TESLA,Model 3 Long Range Dual Motor All Wheel Drive,2023,3,45000.0,,0,5,Black,Yat Hei Motors Ltd.,248000.0
2026/08,2026,8,TOYOTA,ALPHARD SC,2020,6,27000.0,3456.0,301,7,Black,Celebrity Motors Limited,338000.0
2026/08,2026,8,MINI,COUNTRYMAN 1.5T Facelift,2021,5,52000.0,1499.0,136,5,Red,HANSEN MOTORS COMPANY LTD,158000.0
2026/08,2026,8,MERCEDES-BENZ,EQE350+,2023,3,5200.0,,292,5,Black,Hung Wai Motor Enterprise Limited,468000.0
2026/08,2026,8,MERCEDES-BENZ,GLC300 4MATIC Facelift,2021,5,35000.0,1991.0,258,5,Black,Luxury Auto (HK) Company Limited,238000.0
2026/08,2026,8,BYD,Seal 6 EV,2026,0,190.0,65.0,127,5,White,Hung Wai Motor Enterprise Limited,248000.0
2026/08,2026,8,TOYOTA,ESTIMA 2.4 HYBRID,2017,9,58000.0,2400.0,165,7,Black,Chun Fat Motor Company Limited,168000.0
2026/08,2026,8,AUDI,A4 40TFSI QUATTRO S-line,2021,5,60000.0,2000.0,205,5,White,鑽澤有限公司,138000.0
2026/08,2026,8,HONDA,行貨STEPWGN 1.5 Turbo SPADA FL,2020,6,50000.0,1496.0,150,7,White,Win Fair Motors Limited,148000.0
2026/08,2026,8,MERCEDES-BENZ,E200,2019,7,39000.0,2000.0,184,5,Grey,Pak Yu Motors,148000.0
2026/08,2026,8,LEXUS,NX350H Ultimate,2023,3,53000.0,2487.0,243,5,Grey,Luxury Auto (HK) Company Limited,388000.0
2026/08,2026,8,TOYOTA,Alphard 2.5 Z,2025,1,5600.0,2493.0,184,7,Black,Hung Wai Motor Enterprise Limited,498000.0
2026/08,2026,8,TOYOTA,ALPHARD 2.5,2015,11,130000.0,2494.0,182,7,Silver,Motor Life Limited,158000.0
2026/08,2026,8,TESLA,Model X Long Range,2020,6,67700.0,186.0,534,6,Grey,Vision Motors (HK) Limited,498000.0
2026/08,2026,8,BENTLEY,Flying Spur W12,2017,9,38339.0,5998.0,625,5,Black,"New Method Motors Co., Ltd.",798000.0
2026/08,2026,8,LEXUS,NX 200t,2017,9,10000.0,1998.0,238,5,White,Pak Yu Motors,118000.0
